BlockFace,timeLimit,rateRange
300 WINSTON ST,2HR,$0.5 - $5
801 S. HILL ST,2HR,$2 - $4
401 E. 3RD ST,2HR,$0.5 - $1.5
600 W. 8TH ST,4HR,$1.5 - $4
1001 S. OLIVE ST,4HR,$0.5 - $1.5
200 E OLYMPIC BL,2HR,$4.00 
201 W. 9TH ST,4HR,$1 - $6
301 E. 12TH ST,2HR,$4.00 
701 WALL ST,4HR,$0.5 - $6
300 N. FREMONT AV,2HR,$0.5 - $1
901 N. BROADWAY,2HR,$1.5 - $4
701 S. HILL ST,4HR,$4 - $5
201 BOYD ST,2HR,$0.5 - $4
401 BOYD ST,2HR,$0.5 - $1.5
801 WALL ST,2HR,$4.00 
201 W. 4TH ST,2HR,$1 - $5
700 YALE ST,4HR,$0.50 
900 W. DIAMOND ST,15MIN,$1.00 
1100 GLENDON AV,2HR,$1 - $2
400 E. 8TH ST,2HR,$4 - $5
300 S. MAIN ST,4HR,$1.5 - $6
800 SAN JULIAN ST,2HR,$0.5 - $5
10801 LINDBROOK DR,2HR,$1 - $2
401 E. 8TH ST,2HR,$0.5 - $6
1100 S SANTEE ST,2HR,$1.5 - $4
200 E. 6TH ST,2HR,$4 - $5
801 E 12TH ST,2HR,$0.5 - $2
300 E OLYMPIC BL,2HR,$4.00 
601 S. GRAND AV,2HR,$5 - $6
600 W 3RD ST,2HR,$4 - $5
500 COLLEGE ST,4HR,$0.50 
401 W PICO BLVD,4HR,$0.50 
201 E PICO BLVD,2HR,$0.5 - $2
101 N. FIGUEROA ST,4HR,$2.00 
700 HILL ST,2HR,$4 - $5
500 E. 11TH ST,4HR,$0.5 - $1.5
200 E 9TH ST,2HR,$0.5 - $6
801 SAN JULIAN ST,2HR,$0.5 - $6
400 ORD ST,2HR,$0.5 - $3
1201 S. SAN JULIAN ST,4HR,$0.5 - $1
1200 S. SAN JULIAN ST,4HR,$0.5 - $1
301 W. 4TH ST,2HR,$1 - $6
1400 S HOPE ST,4HR,$2.00 
1001 GAYLEY AV,2HR,$1.5 - $2
401 N. FIGUEROA ST,4HR,$0.50 
1200 S. HILL ST,4HR,$0.50 
300 CENTRAL AVE,4HR,$0.50 
701 N. SPRING ST,4HR,$0.50 
600 HILL ST,2HR,$4 - $5
500 MAIN ST,2HR,$3 - $6
101 N. FREMONT AV,4HR,$0.5 - $2
401 W. 4TH ST,4HR,$4 - $5
900 BROXTON AV,2HR,$2.00 
1201 S. OLIVE ST,4HR,$0.50 
701 N. BROADWAY,2HR,$0.5 - $4
401 S BROADWAY,2HR,$4.00 
101 S CENTRAL AVE,2HR,$0.5 - $4
800 N. SPRING ST,2HR,$2 - $3
301 WALL ST,2HR,$0.5 - $4
300 W. 8TH ST,2HR,$0.5 - $6
501 ALPINE ST,4HR,$0.5 - $1
1100 S MAPLE AV,2HR,$3 - $4
401 COLLEGE ST,2HR,$0.5 - $3
501 COLLEGE ST,4HR,$0.50 
101 W. OLYMPIC BL,2HR,$1.5 - $6
700 WALL ST,2HR,$0.5 - $5
900 LEVERING AV,2HR,$1 - $2
501 W. 8TH ST,4HR,$0.5 - $3
400 S WALL ST,4HR,$0.5 - $1.5
301 N. FIGUEROA ST,2HR,$0.5 - $2
301 W. 9TH ST,4HR,$0.5 - $5
100 W. 4TH ST,2HR,$0.5 - $2
1101 S MAPLE AV,2HR,$0.5 - $5
650 S. FRANCISCO ST,2HR,$2 - $3
1401 S SAN PEDRO ST,4HR,$0.50 
100 E. OLYMPIC BL,2HR,$4 - $6
1201 S. GRAND AV,4HR,$0.50 
600 E. 8TH ST,2HR,$1 - $6
101 E. 8TH ST,2HR,$4 - $6
300 TOWNE AVE,4HR,$0.50 
1000 HILGARD AV,2HR,$0.5 - $1
1200 S. MAIN ST,2HR,$0.5 - $4
1001 N. BROADWAY,2HR,$0.5 - $1
701 N. MAIN ST,30MIN,$2.00 
200 E 12TH ST,2HR,$3 - $4
1101 S. WALL ST,2HR,$0.5 - $1
1001 S. WALL ST,2HR,$0.5 - $2
1500 PARK ROW S),1HR,$2.00 
101 MARKET ST S),1HR,$2.00 
751 E 10TH ST,2HR,$0.5 - $2
10801 KINROSS AV,2HR,$1.5 - $2
501 W. OLYMPIC BL,4HR,$0.5 - $2
801 S FIGUEROA ST,2HR,$1.5 - $3
10950 WEYBURN AV,30MIN,$1 - $1.5
301 E 2ND ST,2HR,$0.5 - $4
201 E 2ND ST,2HR,$2 - $4
1001 BROXTON AV,2HR,$1 - $2
800 CECILIA ST,2HR,$3 - $4
800 S FLOWER ST,2HR,$4 - $5
300 W. 9TH ST,2HR,$1.5 - $6
300 S BROADWAY,2HR,$4.00 
1000 S LOS ANGELES ST,2HR,$1.5 - $4
901 W. 2ND ST,4HR,$1.50 
400 HILL ST,2HR,$3 - $4
901 GAYLEY AV,2HR,$1 - $2
1100 WESTWOOD BL,2HR,$1.5 - $2
800 SANTEE ST,2HR,$3 - $4
301 E 11TH ST,2HR,$1.5 - $4
201 WINSTON ST,2HR,$4 - $5
1000 S TOWNE AVE,2HR,$0.5 - $2
701 MAPLE AVE,4HR,$2 - $6
301 W PICO BLVD,4HR,$1.00 
