,Encoded_BlockFace,BlockFace
0,0.2785508561643836,300 WINSTON ST
1,0.16463050456621,801 S. HILL ST
2,0.9936265171232876,401 E. 3RD ST
3,0.2315055684931506,600 W. 8TH ST
4,0.2566231678082192,1001 S. OLIVE ST
5,0.3458384748858447,200 E OLYMPIC BL
6,0.3184822933789954,201 W. 9TH ST
7,0.1719376757990867,301 E. 12TH ST
8,0.8068388013698631,701 WALL ST
9,0.8444333630136986,300 N. FREMONT AV
10,0.7652861164383562,901 N. BROADWAY
11,0.1701326187214611,701 S. HILL ST
12,0.4378850034246575,201 BOYD ST
13,0.2708623710045662,401 BOYD ST
14,0.8626268584474885,801 WALL ST
15,0.4765733755707762,201 W. 4TH ST
16,1.2378170262557078,700 YALE ST
17,0.3081025993150685,900 W. DIAMOND ST
18,0.4587397796803653,1100 GLENDON AV
19,0.2279539200913242,400 E. 8TH ST
20,0.5570143481735159,300 S. MAIN ST
21,0.3972020901826484,800 SAN JULIAN ST
22,0.9177598401826484,10801 LINDBROOK DR
23,0.2837397157534246,401 E. 8TH ST
24,0.7390705091324201,1100 S SANTEE ST
25,0.2890607374429224,200 E. 6TH ST
26,0.4639137465753424,801 E 12TH ST
27,0.151446955479452,300 E OLYMPIC BL
28,0.2558141426940639,601 S. GRAND AV
29,0.2610750639269406,600 W 3RD ST
30,0.1060662454337899,500 COLLEGE ST
31,0.1062646118721461,401 W PICO BLVD
32,0.3078514611872146,201 E PICO BLVD
33,0.4067109805936073,101 N. FIGUEROA ST
34,0.1254982956621004,700 HILL ST
35,0.4046343070776255,500 E. 11TH ST
36,0.3289453105022831,200 E 9TH ST
37,0.5798786529680365,801 SAN JULIAN ST
38,0.3369335525114155,400 ORD ST
39,0.3575323664383562,1201 S. SAN JULIAN ST
40,0.3109796312785388,1200 S. SAN JULIAN ST
41,0.524032502283105,301 W. 4TH ST
42,0.3839714703196347,1400 S HOPE ST
43,1.537885719178082,1001 GAYLEY AV
44,0.2867463687214612,401 N. FIGUEROA ST
45,0.2444115981735159,1200 S. HILL ST
46,0.7153347762557077,300 CENTRAL AVE
47,1.17616924543379,701 N. SPRING ST
48,0.3392005285388128,600 HILL ST
49,0.2419220365296803,500 MAIN ST
50,0.5928017591324201,101 N. FREMONT AV
51,0.495749200913242,401 W. 4TH ST
52,0.4256714828767123,900 BROXTON AV
53,0.1958956484018264,1201 S. OLIVE ST
54,0.2139707625570776,701 N. BROADWAY
55,0.1144554600456621,401 S BROADWAY
56,0.2906107682648401,101 S CENTRAL AVE
57,0.3905557100456621,800 N. SPRING ST
58,0.4188749075342465,301 WALL ST
59,0.3708960867579908,300 W. 8TH ST
60,0.6523641095890411,501 ALPINE ST
61,0.5184356369863014,1100 S MAPLE AV
62,0.3311081289954338,401 COLLEGE ST
63,0.4413350102739726,501 COLLEGE ST
64,0.1851997374429223,101 W. OLYMPIC BL
65,0.7507792100456622,700 WALL ST
66,0.2425578892694064,900 LEVERING AV
67,0.3196881392694064,501 W. 8TH ST
68,0.5426285308219179,400 S WALL ST
69,0.6189005388127854,301 N. FIGUEROA ST
70,0.5984037511415525,301 W. 9TH ST
71,0.3926536849315068,100 W. 4TH ST
72,0.5167512420091325,1101 S MAPLE AV
73,0.2417082773972602,650 S. FRANCISCO ST
74,0.0437485970319634,1401 S SAN PEDRO ST
75,0.1663326506849315,100 E. OLYMPIC BL
76,0.2894154098173516,1201 S. GRAND AV
77,0.3465311095890411,600 E. 8TH ST
78,0.0636701187214611,101 E. 8TH ST
79,0.211518352739726,300 TOWNE AVE
80,0.6227659714611872,1000 HILGARD AV
81,0.4818070285388128,1200 S. MAIN ST
82,0.3128745456621004,1001 N. BROADWAY
83,0.2030668333333333,701 N. MAIN ST
84,0.2764135194063927,200 E 12TH ST
85,0.6169321289954338,1101 S. WALL ST
86,0.6648577305936073,1001 S. WALL ST
87,0.3429659109589041,1500 PARK ROW S)
88,0.1631416267123287,101 MARKET ST S)
89,0.4998320570776256,751 E 10TH ST
90,0.1213469406392694,10801 KINROSS AV
91,0.4604492945205479,501 W. OLYMPIC BL
92,0.3548098812785388,801 S FIGUEROA ST
93,0.326487796803653,10950 WEYBURN AV
94,0.6803365570776255,301 E 2ND ST
95,0.3090002305936073,201 E 2ND ST
96,0.2866271997716895,1001 BROXTON AV
97,0.717405247716895,800 CECILIA ST
98,0.6820444337899544,800 S FLOWER ST
99,0.294485850456621,300 W. 9TH ST
100,0.1363119440639269,300 S BROADWAY
101,0.4186328789954338,1000 S LOS ANGELES ST
102,0.369285,901 W. 2ND ST
103,0.7477826894977169,400 HILL ST
104,0.91048150913242,901 GAYLEY AV
105,0.6687009372146119,1100 WESTWOOD BL
106,0.4701842214611872,800 SANTEE ST
107,0.1963637922374429,301 E 11TH ST
108,0.471777098173516,201 WINSTON ST
109,0.6207596506849316,1000 S TOWNE AVE
110,0.5648807659817352,701 MAPLE AVE
111,0.3744131735159817,301 W PICO BLVD
112,0.8097251541095891,701 E PICO BLVD
113,1.2206312819634704,700 N. SPRING ST
114,0.4404812248858447,900 TIVERTON AV
115,0.1768549360730593,500 E. 9TH ST
116,0.0784749257990867,901 S. GRAND AV
117,0.4112504337899543,301 OMAR AVE
118,0.3082331723744292,1101 GLENDON AV
119,0.1812680707762557,401 W. 12TH ST
120,0.3512336837899543,301 E. 9TH ST
121,0.4379269805936073,500 E. 8TH ST
122,0.0851559646118721,601 MAPLE AVE
123,0.7078815856164384,700 N. HILL ST
124,0.1465104394977169,200 HILL ST
125,0.157604408675799,501 S BROADWAY
126,0.3642983858447488,1200 S. SANTEE ST
127,0.2152837853881278,301 W. 8TH ST
128,0.4062579394977169,501 S. FREMONT AVE
129,0.1306109200913242,600 LOS ANGELES ST
130,0.3298788641552511,300 S HOPE ST
131,0.2287563538812785,100 E. 8TH ST
132,0.1120396769406392,200 S HOPE ST
133,0.7594883835616438,1100 S. SAN JULIAN ST
134,0.0542999874429223,101 E 11TH ST
135,0.2252659988584475,201 E 12TH ST
136,0.2276694714611872,200 ALPINE ST
